Transaction ID,Date and Time,Sender Account No.,Sender Country,Receiver Account No.,Amount,Week
JSYVW6037049295,6/1/2024 0:02,287926000000000.0,Bhutan,53454237585,1860.41,22
KDUFV9410078158,6/1/2024 0:03,753080000000000.0,Namibia,53622003929,605.94,22
VXPWW9660436120,6/1/2024 0:06,139368000000000.0,Ireland,63927076729,1303.12,22
VIYTP1679774249,6/1/2024 0:10,629126000000000.0,Malaysia,23095041943,854.81,22
VGAIN9321259940,6/1/2024 0:15,240266000000000.0,Venezuela,64871822916,1781.61,22
RRTRO4052303248,6/1/2024 0:27,513570000000000.0,Singapore,57639934296,421.42,22
MUHFS1775406186,6/1/2024 0:30,690480000000000.0,Denmark,25121250021,734.63,22
MWWPQ3525456873,6/1/2024 0:32,380141000000000.0,Bulgaria,69833165714,164.95,22
UMJYO2924414640,6/1/2024 0:34,613222000000000.0,New Zealand,67291106683,1102.61,22
FAQJI3246028272,6/1/2024 0:36,803974000000000.0,China,57025327540,1663.9,22
UOGDO7263531793,6/1/2024 0:45,949942000000000.0,Chile,53261473001,1630.89,22
ABDGT8827059061,6/1/2024 0:46,748689000000000.0,Syria,13157889962,1953.14,22
DRWXY3932733620,6/1/2024 0:47,587359000000000.0,Cambodia,56897362962,429.62,22
XCSLT6052344669,6/1/2024 0:54,818456000000000.0,Peru,33720168421,1434.31,22
GKRSV7556987516,6/1/2024 1:01,562140000000000.0,Venezuela,50527396587,1713.01,22
MCUSM0231363312,6/1/2024 1:04,147693000000000.0,Slovenia,17524075941,1761.93,22
LWKKC3673358839,6/1/2024 1:08,473611000000000.0,Vietnam,19017770896,1458.09,22
ERJJG7262090406,6/1/2024 1:10,282639000000000.0,Pakistan,22020867668,255.58,22
VKFNH0170094805,6/1/2024 1:10,899266000000000.0,Jordan,57448909251,1915.56,22
SBXTQ5214519352,6/1/2024 1:15,330636000000000.0,Austria,29694217138,1305.92,22
WJRBC3306621573,6/1/2024 1:19,791199000000000.0,Slovenia,56399691201,238.2,22
WWOMD9121851369,6/1/2024 1:21,301186000000000.0,Tanzania,52660120390,285.13,22
OPGYI0190065699,6/1/2024 1:30,698339000000000.0,Philippines,13721407085,1961.64,22
SZMTV6491684648,6/1/2024 1:38,107196000000000.0,Yemen,33529214567,895.55,22
COXJZ8344476513,6/1/2024 1:40,47908600000000.0,Iran,57454875083,1265.29,22
RIPMO9817182253,6/1/2024 1:50,708108000000000.0,Sweden,53249020847,674.68,22
UGROU9958946361,6/1/2024 1:55,571605000000000.0,Myanmar,53544830860,42.35,22
TIEVG8277623411,6/1/2024 1:56,230060000000000.0,Zimbabwe,25785083418,390.17,22
CCGLT0165530013,6/1/2024 1:58,287255000000000.0,Ireland,53992830795,170.84,22
VCLTA3994325402,6/1/2024 1:59,615040000000000.0,Bahrain,63508825914,1945.62,22
RSYSA6096983265,6/1/2024 2:03,988372000000000.0,Denmark,63868569402,1202.18,22
OYQCH3116557809,6/1/2024 2:04,74490500000000.0,Germany,59970943968,1429.15,22
PLPNQ0357998738,6/1/2024 2:13,727150000000000.0,Poland,67749939356,1312.93,22
CYKLM1578029897,6/1/2024 2:17,16549700000000.0,UAE,66481518015,1238.75,22
CRJQI3489627945,6/1/2024 2:25,992694000000000.0,Bhutan,53560447177,582.52,22
YBLEN1223760008,6/1/2024 2:26,421087000000000.0,Tanzania,57529480208,1369.16,22
XTPYU6564326704,6/1/2024 2:29,682249000000000.0,Argentina,57169397144,1454.74,22
QMAEY5949365866,6/1/2024 2:30,93834900000000.0,Zambia,57291112758,1577.79,22
FCKRG7617596217,6/1/2024 2:34,445121000000000.0,Denmark,56219198319,1352.82,22
KURJR5470667488,6/1/2024 2:35,47908600000000.0,Iran,56798056236,128.62,22
NAEZQ0477100813,6/1/2024 2:46,710501000000000.0,New Zealand,18345660221,1917.75,22
IYBXR5025854111,6/1/2024 2:47,941330000000000.0,South Africa,63630130609,1185.76,22
YCTJD2101580138,6/1/2024 3:02,612145000000000.0,Cuba,19925900499,1591.33,22
LZOTL5404259058,6/1/2024 3:02,453828000000000.0,Zambia,17011497973,1297.77,22
CLQBW9652173137,6/1/2024 3:04,266335000000000.0,El Salvador,57774133782,1234.92,22
